,Id,name,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,JF,MAM,JJAS,OND
67822,293401,ADILABAD,1964,0.0,0.0,14.0,2.4,1.0,120.4,192.3,297.1,237.0,70.4,12.3,0.0,947.0,0.0,17.4,846.9,82.7
67823,293401,ADILABAD,1965,5.4,0.0,0.0,0.0,0.4,133.7,304.2,192.2,156.6,0.0,0.0,0.0,792.5,5.4,0.4,786.7,0.0
67824,293401,ADILABAD,1966,0.0,0.0,0.0,0.0,0.0,90.9,398.8,213.7,396.9,4.0,36.1,33.2,1173.6,0.0,0.0,1100.2,73.3
67825,293401,ADILABAD,1967,0.0,0.0,110.5,14.6,0.0,196.9,301.3,252.3,86.6,1.4,0.0,96.4,1060.0,0.0,125.1,837.1,97.8
67826,293401,ADILABAD,1968,19.7,25.3,101.3,6.0,4.5,96.7,194.4,110.6,227.8,31.0,16.8,0.2,834.4,44.9,111.9,629.5,48.1
67827,293401,ADILABAD,1969,0.5,0.0,2.2,10.2,16.0,94.4,333.3,249.5,350.3,42.8,78.0,0.1,1177.4,0.5,28.4,1027.5,120.9
67828,293401,ADILABAD,1970,7.8,0.0,10.6,15.9,19.5,242.2,144.4,362.9,168.4,14.0,0.0,0.0,985.7,7.8,46.0,917.9,14.0
67829,293401,ADILABAD,1971,4.0,1.7,19.7,10.7,22.4,141.5,130.9,176.0,58.9,138.2,0.0,0.0,704.0,5.7,52.8,507.3,138.2
67830,293401,ADILABAD,1972,0.0,0.0,1.1,2.4,18.4,166.2,202.5,128.2,44.8,26.1,56.0,0.2,646.0,0.0,21.9,541.8,82.3
67831,293401,ADILABAD,1973,0.0,0.0,1.0,2.9,3.1,133.0,292.2,475.4,130.9,346.9,3.5,0.0,1388.8,0.0,7.0,1031.5,350.4
67832,293401,ADILABAD,1974,0.0,0.0,0.0,1.4,13.5,101.9,137.3,197.2,137.4,274.7,6.3,0.0,869.7,0.0,14.9,573.8,281.0
67833,293401,ADILABAD,1975,5.1,36.0,5.0,0.3,18.4,168.5,249.3,240.3,278.4,139.7,1.7,0.0,1142.7,41.1,23.6,936.5,141.5
67834,293401,ADILABAD,1976,1.4,0.0,1.5,19.7,0.0,62.1,506.3,281.8,188.8,1.1,13.0,0.0,1075.8,1.4,21.2,1039.1,14.1
67835,293401,ADILABAD,1977,0.0,0.0,3.3,5.7,23.0,68.4,363.2,461.4,114.7,34.4,39.0,4.8,1118.0,0.0,32.1,1007.7,78.2
67836,293401,ADILABAD,1978,18.5,8.9,3.3,23.7,12.7,337.7,522.2,319.7,96.1,30.4,32.5,0.0,1405.6,27.4,39.6,1275.7,62.9
67837,293401,ADILABAD,1979,27.9,28.2,1.5,5.5,27.2,216.0,168.2,202.8,126.9,5.6,24.0,14.1,848.1,56.1,34.2,714.0,43.8
67838,293401,ADILABAD,1980,0.0,0.0,5.4,15.8,5.0,273.7,270.1,451.6,174.2,0.0,0.9,56.6,1253.4,0.0,26.2,1169.6,57.5
67839,293401,ADILABAD,1981,19.7,0.0,15.9,4.3,42.0,194.9,296.6,466.7,327.4,24.3,0.0,4.7,1396.5,19.7,62.2,1285.6,29.0
67840,293401,ADILABAD,1982,28.6,0.0,0.0,10.9,41.8,171.5,267.2,216.0,183.9,110.3,8.6,0.0,1038.8,28.6,52.7,838.6,118.9
67841,293401,ADILABAD,1983,0.0,0.0,0.0,0.0,42.5,214.2,356.7,537.9,454.7,138.9,0.0,13.6,1758.5,0.0,42.5,1563.5,152.5
67842,293401,ADILABAD,1984,6.6,12.6,0.0,4.7,14.3,126.1,266.9,108.2,66.8,98.3,0.9,0.0,705.3,19.1,19.0,568.0,99.2
67843,293401,ADILABAD,1985,6.6,0.0,11.0,8.8,12.1,207.7,238.0,233.6,59.5,106.4,0.0,2.4,886.1,6.6,31.9,738.8,108.8
67844,293401,ADILABAD,1986,10.4,58.9,9.3,4.0,10.7,123.4,381.5,501.7,64.6,30.4,3.2,18.4,1216.8,69.4,24.1,1071.3,52.0
67845,293401,ADILABAD,1987,33.9,2.3,28.9,2.9,22.6,138.1,181.2,225.1,20.6,77.1,58.1,0.8,791.7,36.3,54.5,565.0,136.0
67846,293401,ADILABAD,1988,0.0,4.5,0.7,19.9,0.3,163.3,864.7,430.0,378.5,126.9,7.0,6.2,2001.9,4.5,20.9,1836.4,140.1
67847,293401,ADILABAD,1989,0.0,0.0,57.3,2.5,0.3,267.3,340.9,453.3,130.2,17.6,0.0,18.7,1288.1,0.0,60.0,1191.8,36.3
67848,293401,ADILABAD,1990,4.2,0.6,2.3,2.6,175.9,501.9,222.4,738.3,71.4,148.7,3.3,1.2,1872.8,4.9,180.8,1534.0,153.2
67849,293401,ADILABAD,1991,6.4,0.0,0.0,31.9,27.9,164.4,327.8,122.7,71.5,19.9,31.2,6.0,809.8,6.4,59.8,686.5,57.1
67850,293401,ADILABAD,1992,0.0,0.0,0.0,7.4,23.7,267.2,185.0,359.4,133.7,35.8,21.3,0.0,1033.6,0.0,31.1,945.4,57.1
67851,293401,ADILABAD,1993,0.0,0.0,27.0,17.1,18.2,134.1,337.0,199.3,181.8,59.6,0.0,13.3,987.4,0.0,62.4,852.2,72.9
67852,293401,ADILABAD,1994,12.7,6.3,0.0,25.5,6.0,171.1,402.9,283.7,55.1,106.3,18.4,-999.9,-999.9,19.0,31.5,912.8,-999.9
67853,293401,ADILABAD,1995,106.7,3.3,34.0,28.1,32.9,173.5,347.4,200.2,194.0,462.6,3.1,0.0,1585.9,110.0,95.0,915.1,465.8
67854,293401,ADILABAD,1996,0.0,0.0,14.5,26.2,6.3,68.5,256.2,283.0,153.1,89.1,8.0,0.0,904.9,0.0,47.0,760.8,97.1
67855,293401,ADILABAD,1997,23.0,0.0,11.7,35.8,24.2,106.6,167.8,239.4,165.2,135.2,48.5,-999.9,-999.9,23.0,71.7,679.0,-999.9
67856,293401,ADILABAD,1998,14.3,28.1,19.5,23.7,46.0,218.3,305.3,292.3,193.7,25.0,-999.9,-999.9,-999.9,42.5,89.1,1009.6,-999.9
67857,293401,ADILABAD,1999,-999.9,19.8,7.1,0.0,50.3,230.6,171.0,218.0,243.6,91.0,0.0,0.0,-999.9,-999.9,57.4,863.1,91.0
67858,293401,ADILABAD,2000,2.5,9.6,-999.9,13.1,71.8,276.1,252.0,414.5,52.8,17.4,10.0,2.0,-999.9,12.1,-999.9,995.3,29.4
67859,293401,ADILABAD,2001,10.9,-999.9,19.5,33.5,8.4,269.2,149.4,389.7,55.2,117.0,28.2,0.0,-999.9,-999.9,61.3,863.5,145.2
67860,293401,ADILABAD,2002,17.1,8.9,7.0,7.5,23.0,255.6,112.7,415.3,61.6,27.8,3.5,0.0,940.0,26.0,37.5,845.2,31.3
67861,293401,ADILABAD,2003,0.0,19.2,22.8,21.7,9.8,141.4,404.6,313.1,100.7,67.7,15.0,0.0,1116.0,19.2,54.3,959.8,82.7
67862,293401,ADILABAD,2004,19.8,16.8,10.6,19.4,28.6,91.9,197.7,151.2,132.4,11.1,0.0,0.0,679.7,36.7,58.7,573.1,11.1
67863,293401,ADILABAD,2005,97.4,15.8,17.5,27.6,18.7,133.3,517.8,161.6,157.1,85.8,0.0,10.4,1243.0,113.2,63.8,969.7,96.2
67864,293401,ADILABAD,2006,0.0,0.0,37.9,26.2,34.2,123.9,253.6,371.1,283.7,37.4,14.9,0.0,1183.0,0.0,98.3,1032.3,52.3
